,,,,,,
Hostname,DLC_JC_0105_3560B,(?<=hostname\s)(.*),1,,,
MGMT_IP,10.10.83.3,"^Vlan.*(10.10.\d{1,3}.\d{1,3})",1,,,
SN,FDO1507V07X,^System serial number.*?(\w+),1,,,
Model,WS-C3560V2-48TS,^Model number.*?(\w.*),1,,,
Software_Verion,Version 12.2(50)SE1,^Cisco\sIOS.*Version\s(.*)..REL,1,,,
CPU_Usage,7%,"^CPU.*?(\d{1,3}%)",1,,,
MEM_Total,85443596,^Processor.*?(\d+)\sUsed,1,,,
MEM_Usage,17230416,^Processor.*?(\d+)\sFree,1,,,
MEM_Free,68213180,^Processor.*Free:\s+(\d+),1,,,
FAN,OK,^FAN\sis\s(\w+),1,,,
TEMPERATURE,OK,^TEMPERATURE\sis\s(\w+),1,,,
Power,GOOD,Built-in\s+(\w+),1,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,